1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, nan
1991, nan
1992, nan
1993, nan
1994, nan
1995, nan
1996, nan
1997, nan
1998, nan
1999, nan
2000, 146297500.0
2001, 156907900.0
2002, 163184900.0
2003, 153963200.0
2004, 165186200.0
2005, 190452900.0
2006, 192382400.0
2007, 198897700.0
2008, 198283900.0
2009, 187522800.0
2010, 185943000.0
2011, 196911100.0
2012, 212397800.0
2013, 221117200.0
2014, 241669800.0
2015, 280457700.0
2016, 298300000.0
2017, 285600000.0
2018, 288546281.25
2019, 281970375.0
2020, 257885921.875
2021, 232903015.625
2022, nan
2023, nan
